#HMS-PCI Spoke	( 3620)
YDR477W	YEL060C
YDR477W	YGL115W
YDR477W	YDL192W
YDR395W	YAL059W
YDR395W	YDL051W
YJL149W	YDL132W
YJL149W	YDR328C
YIL063C	YGR218W
YDL220C	YDR155C
YAL036C	YMR012W
YAL036C	YJL138C
YHR183W	YKL085W
YHR183W	YGL216W
YHR183W	YNL014W
YJR090C	YDL132W
YNL106C	YKR028W
YNL106C	YNL055C
YJR062C	YLL026W
YJR062C	YEL030W
YJR062C	YBR011C
YJR062C	YOR332W
YJR062C	YKL085W
YJR062C	YDL185W
YJR062C	YOR232W
YOR090C	YPR016C
YPL022W	YAL027W
YHR014W	YOR136W
YHR014W	YJL138C
YDR219C	YHR122W
YDR219C	YDR328C
YDR306C	YDR328C
YDR306C	YKL085W
YMR106C	YMR287C
YMR106C	YOR027W
YLR352W	YDL132W
YLR352W	YDR328C
YOL128C	YHR179W
YOL128C	YOR185C
YOL128C	YKL085W
YOL128C	YDR353W
YBR135W	YLR226W
YBR135W	YMR199W
YBR135W	YPR120C
YBR135W	YDL155W
YBR135W	YER138C
YBR135W	YBR160W
YBR135W	YPR119W
YBR135W	YEL034W
YBR135W	YDR170W-A
YJR042W	YOR176W
YJR042W	YMR209C
YJR042W	YPL215W
YJR042W	YDL116W
YJR042W	YGL100W
YER012W	YGR253C
YER012W	YER094C
YER012W	YLR199C
YER012W	YMR314W
YER012W	YPR103W
YER012W	YOR362C
YER012W	YJL001W
YER012W	YOL038W
YER012W	YBL041W
YER012W	YGL011C
YER012W	YKL206C
YER012W	YGR135W
YER012W	YML092C
YER012W	YHR033W
YDR388W	YER125W
YDR388W	YCR009C
YDR328C	YLR267W
YDR328C	YEL060C
YDR328C	YOR057W
YDR328C	YML088W
YDR328C	YFL009W
YDR328C	YDR131C
YIL007C	YLR304C
YBR264C	YOR370C
YPL074W	YGR086C
YPL074W	YPL004C
YPL074W	YNL088W
YGL003C	YIL142W
YGL003C	YBR160W
YGL003C	YMR304W
YGL003C	YKR048C
YGL003C	YJL014W
YOR125C	YBL045C
YOR125C	YJL068C
YAL036C	YHR027C
YJL044C	YDR407C
YJL044C	YMR218C
YOR341W	YPR010C
YOR341W	YBR154C
YOR341W	YOR340C
YBR203W	YDR328C
YHR135C	YKL210W
YNL154C	YHR135C
YPR015C	YOR207C
YPR015C	YDR395W
YLR074C	YBR009C
YLR074C	YDR101C
YLR074C	YGL120C
YLR074C	YIL093C
YLR074C	YLR397C
YLR074C	YHR059W
YLR074C	YPL013C
YLR074C	YDR225W
YLR074C	YDR224C
YLR074C	YDL051W
YLR074C	YHR170W
YLR074C	YDR496C
YLR074C	YDR175C
YLR074C	YER006W
YLR074C	YJL122W
YLR074C	YBL044W
YLR074C	YGR103W
YLR074C	YPL093W
YLR074C	YNL175C
YLR074C	YDR036C
YLR074C	YBL002W
YLR074C	YLR196W
YLR074C	YHR197W
YLR074C	YER126C
YLR074C	YIL070C
YLR074C	YOL041C
YLR074C	YGL068W
YHR166C	YDR260C
YHR166C	YEL034W
YMR001C	YDL003W
YMR001C	YFL008W
YER133W	YGR103W
YER133W	YFR015C
YER133W	YML074C
YER133W	YKL193C
YER133W	YDR130C
YER020W	YHR005C
YDL013W	YLR006C
YPL204W	YDL060W
YBR055C	YDR473C
YBR055C	YPR178W
YHR135C	YMR226C
YHR135C	YNL172W
YDL213C	YOR310C
YDL213C	YER006W
YDL213C	YGL068W
YDL213C	YGR145W
YDL213C	YNL061W
YDL213C	YJL138C
YDL213C	YLR175W
YDL213C	YLR347C
YDL213C	YDR496C
YDL213C	YLR196W
YDL213C	YDR224C
YDL213C	YNL308C
YDL213C	YHL038C
YDL213C	YDR194C
YDL213C	YGR103W
YDL213C	YKR024C
YBR109C	YOR035C
YBR109C	YGL106W
YBR109C	YDR356W
YBR109C	YGL141W
YBR109C	YKL129C
YPR017C	YJL122W
YPR017C	YMR246W
YPR017C	YPL093W
YPR017C	YLR397C
YPR017C	YDR101C
YPR017C	YGR103W
YNL106C	YCL028W
YNL106C	YDR279W
YNL106C	YGR234W
YNL106C	YJR105W
YNL106C	YJL138C
YBL026W	YJL124C
YIL046W	YOL133W
YGR173W	YKL085W
YGR173W	YDR152W
YKL078W	YDL014W
YKL078W	YGL137W
YLR097C	YMR303C
YLR097C	YLL039C
YLR097C	YDL132W
YLR097C	YLR289W
YLR097C	YDR328C
YLR097C	YNL037C
YNL230C	YML056C
YNL230C	YPL093W
YNL230C	YOR017W
YNL230C	YLR196W
YNL230C	YPL012W
YNL230C	YDR194C
YNL230C	YER077C
YNL230C	YKL172W
YNL230C	YDL014W
YNL230C	YLR136C
YNL230C	YLR432W
YNL230C	YGR103W
YNL230C	YOR272W
YNL230C	YKR081C
YLR293C	YDR002W
YOL133W	YHL030W
YOL133W	YDR009W
YOL133W	YJL020C
YOL133W	YCR093W
YOL133W	YGR218W
YOL133W	YGL195W
YOL133W	YPR164W
YOL133W	YPL036W
YOL133W	YAR009C
YOL133W	YNL160W
YOL133W	YLR035C-A
YOL133W	YLR106C
YOL133W	YDR216W
YOL133W	YEL034W
YOL133W	YGR240C
YOL133W	YOR341W
YOL133W	YMR246W
YOL133W	YNL085W
YOL133W	YBR126C
YOL133W	YLL040C
YOL133W	YBR208C
YOL133W	YOR326W
YOL133W	YHR027C
YOL133W	YLL039C
YOL133W	YBR078W
YFL014W	YDR155C
YER112W	YDR238C
YIL046W	YLL039C
YNL175C	YNL308C
YNL175C	YPL043W
YNL175C	YGR162W
YNL175C	YDR194C
YNL175C	YOR206W
YMR022W	YLR109W
YMR022W	YLL039C
YPR110C	YDR216W
YPR110C	YIL128W
YPR110C	YER138C
YPR110C	YDR141C
YPR110C	YHL030W
YPR110C	YGL016W
YPR110C	YKL218C
YPR110C	YOR116C
YPL235W	YDR190C
YIR001C	YMR012W
YIR001C	YDR432W
YIR001C	YNL016W
YIR001C	YGL049C
YIR001C	YGR162W
YIR001C	YER161C
YIR001C	YAL035W
YER161C	YLR389C
YER161C	YHR066W
YER161C	YKR081C
YER161C	YBR085W
YER161C	YGR155W
YER161C	YHR183W
YER161C	YER082C
YER161C	YDR496C
YER161C	YDR091C
YER161C	YNL189W
YER161C	YBR143C
YER161C	YGR162W
YER161C	YOL041C
YER161C	YGR090W
YER161C	YLR293C
YOL102C	YDL014W
YOL102C	YNL132W
YOL102C	YKR081C
YGR052W	YLR127C
YHR052W	YDR194C
YHR052W	YNL061W
YHR052W	YOR206W
