YPL048W	CAM1	S000005969	P	protein biosynthesis	6412	ORF|Verified
YPL048W	CAM1	S000005969	C	ribosome	5840	ORF|Verified
YER079W		S000000881	F	molecular_function unknown	5554	ORF|Uncharacterized
YER079W		S000000881	P	biological_process unknown	4	ORF|Uncharacterized
YER079W		S000000881	C	nucleus	5634	ORF|Uncharacterized
YER079W		S000000881	C	cytoplasm	5737	ORF|Uncharacterized
YPL049C	DIG1	S000005970	F	protein binding	5515	ORF|Verified
YPL049C	DIG1	S000005970	C	nucleus	5634	ORF|Verified
tF(GAA)P1		S000006570	P	protein biosynthesis	6412	tRNA
tF(GAA)P1		S000006570	C	cytoplasm	5737	tRNA
tF(GAA)P2		S000006571	P	protein biosynthesis	6412	tRNA
tF(GAA)P2		S000006571	C	cytoplasm	5737	tRNA
YMR100W	MUB1	S000004706	F	molecular_function unknown	5554	ORF|Verified
YMR100W	MUB1	S000004706	P	cell budding	7114	ORF|Verified
YMR100W	MUB1	S000004706	C	cellular_component unknown	8372	ORF|Verified
YBL031W	SHE1	S000000127	F	molecular_function unknown	5554	ORF|Verified
YBL031W	SHE1	S000000127	P	biological_process unknown	4	ORF|Verified
YBL031W	SHE1	S000000127	C	cytoskeleton	5856	ORF|Verified
YBR114W	RAD16	S000000318	F	hydrolase activity	16787	ORF|Verified
YBR114W	RAD16	S000000318	P	DNA metabolism	6259	ORF|Verified
YBR114W	RAD16	S000000318	C	nucleus	5634	ORF|Verified
YPR066W	UBA3	S000006270	P	protein modification	6464	ORF|Verified
YPR066W	UBA3	S000006270	C	cytoplasm	5737	ORF|Verified
YMR101C	SRT1	S000004707	F	transferase activity	16740	ORF|Verified
YMR101C	SRT1	S000004707	P	protein modification	6464	ORF|Verified
YMR101C	SRT1	S000004707	C	cytoplasm	5737	ORF|Verified
YIL002W-A		S000028835	F	molecular_function unknown	5554	ORF|Uncharacterized
YIL002W-A		S000028835	P	biological_process unknown	4	ORF|Uncharacterized
YIL002W-A		S000028835	C	cellular_component unknown	8372	ORF|Uncharacterized
YBR115C	LYS2	S000000319	F	oxidoreductase activity	16491	ORF|Verified
YBR115C	LYS2	S000000319	P	amino acid and derivative metabolism	6519	ORF|Verified
YBR115C	LYS2	S000000319	C	cytoplasm	5737	ORF|Verified
YNL310C	ZIM17	S000005254	F	molecular_function unknown	5554	ORF|Verified
YNL310C	ZIM17	S000005254	P	biological_process unknown	4	ORF|Verified
YNL310C	ZIM17	S000005254	C	mitochondrion	5739	ORF|Verified
YBL032W	HEK2	S000000128	F	RNA binding	3723	ORF|Verified
YBL032W	HEK2	S000000128	C	cytoplasm	5737	ORF|Verified
YPR067W	ISA2	S000006271	F	molecular_function unknown	5554	ORF|Verified
YPR067W	ISA2	S000006271	P	transport	6810	ORF|Verified
YPR067W	ISA2	S000006271	C	mitochondrion	5739	ORF|Verified
YMR102C		S000004708	F	molecular_function unknown	5554	ORF|Uncharacterized
YMR102C		S000004708	P	biological_process unknown	4	ORF|Uncharacterized
YMR102C		S000004708	C	cellular_component unknown	8372	ORF|Uncharacterized
YBR050C	REG2	S000000254	F	phosphoprotein phosphatase activity	4721	ORF|Verified
YBR050C	REG2	S000000254	P	transcription	6350	ORF|Verified
YBL033C	RIB1	S000000129	F	hydrolase activity	16787	ORF|Verified
YBL033C	RIB1	S000000129	P	vitamin metabolism	6766	ORF|Verified
YBL033C	RIB1	S000000129	C	cytoplasm	5737	ORF|Verified
YBL033C	RIB1	S000000129	C	nucleus	5634	ORF|Verified
tS(UGA)Q2		S000007333	P	protein biosynthesis	6412	tRNA
tS(UGA)Q2		S000007333	C	mitochondrion	5739	tRNA
YPR068C	HOS1	S000006272	F	hydrolase activity	16787	ORF|Verified
YPR068C	HOS1	S000006272	P	protein modification	6464	ORF|Verified
YPR068C	HOS1	S000006272	C	nucleus	5634	ORF|Verified
YNL311C		S000005255	F	protein binding	5515	ORF|Uncharacterized
YNL311C		S000005255	P	protein catabolism	30163	ORF|Uncharacterized
YBL034C	STU1	S000000130	F	structural molecule activity	5198	ORF|Verified
YBL034C	STU1	S000000130	P	cytoskeleton organization and biogenesis	7010	ORF|Verified
YBL034C	STU1	S000000130	C	microtubule organizing center	5815	ORF|Verified
YBR117C	TKL2	S000000321	F	transferase activity	16740	ORF|Verified
YBR117C	TKL2	S000000321	P	carbohydrate metabolism	5975	ORF|Verified
YBR117C	TKL2	S000000321	C	cytoplasm	5737	ORF|Verified
YBR117C	TKL2	S000000321	C	nucleus	5634	ORF|Verified
YPR069C	SPE3	S000006273	F	transferase activity	16740	ORF|Verified
YPR069C	SPE3	S000006273	P	amino acid and derivative metabolism	6519	ORF|Verified
YPR069C	SPE3	S000006273	C	nucleus	5634	ORF|Verified
YPR069C	SPE3	S000006273	C	cytoplasm	5737	ORF|Verified
YML020W		S000004482	F	molecular_function unknown	5554	ORF|Uncharacterized
YML020W		S000004482	P	biological_process unknown	4	ORF|Uncharacterized
YML020W		S000004482	C	cellular_component unknown	8372	ORF|Uncharacterized
YML021C	UNG1	S000004483	F	hydrolase activity	16787	ORF|Verified
YML021C	UNG1	S000004483	P	DNA metabolism	6259	ORF|Verified
YML021C	UNG1	S000004483	C	nucleus	5634	ORF|Verified
